"name","imdb","rt","bm","imdb_rating","release_date","budget","critic_score_rt","audience_score_rt","theaters","opening_weekend_usa","gross_usa","gross_worldwide","year","year_of_release","NAs"
"Iron Man 3","https://www.imdb.com/title/tt1300854/","https://www.rottentomatoes.com/m/iron_man_3","https://www.boxofficemojo.com/movies/?id=ironman3.htm",7.2," 3 May 2013 (USA)",2e+08,"79%","78%",4253,174144585,409013994,1214811252,"2013 (USA)",2013,0
"Joker","https://www.imdb.com/title/tt7286456/","https://www.rottentomatoes.com/m/joker_2019","https://www.boxofficemojo.com/movies/?id=joker2019.htm",8.8," 4 October 2019 (USA)",5.5e+07,"69%","88%",4374,96202337,323782942,1022682942,"2019 (USA)",2019,0
"Jonah Hex","https://www.imdb.com/title/tt1075747/","https://www.rottentomatoes.com/m/jonah_hex","https://www.boxofficemojo.com/movies/?id=jonahhex.htm",4.7," 18 June 2010 (USA)",4.7e+07,"12%","20%",2825,5379365,10547117,10903312,"2010 (USA)",2010,0
"Justice League","https://www.imdb.com/title/tt0974015/","https://www.rottentomatoes.com/m/justice_league_2017","https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm",6.4," 17 November 2017 (USA)",3e+08,"40%","72%",4051,93842239,229024295,657924295,"2017 (USA)",2017,0
"Logan","https://www.imdb.com/title/tt3315342/","https://www.rottentomatoes.com/m/logan_2017","https://www.boxofficemojo.com/movies/?id=wolverine2017.htm",8.1," 3 March 2017 (USA)",9.7e+07,"93%","90%",4071,88411916,226277068,619021436,"2017 (USA)",2017,0
"Man of Steel","https://www.imdb.com/title/tt0770828/","https://www.rottentomatoes.com/m/superman_man_of_steel","https://www.boxofficemojo.com/release/rl4034037249/?ref_=bo_shs_sd",7.1," 14 June 2013 (USA)",2.25e+08,"56%","75%",4207,116619362,291045518,668045518,"2013 (USA)",2013,0
"Punisher: War Zone","https://www.imdb.com/title/tt0450314/","https://www.rottentomatoes.com/m/punisher_war_zone","https://www.boxofficemojo.com/movies/?id=punisher2.htm",5.9," 5 December 2008 (USA)",3.5e+07,"29%","42%",2508,4271451,8050977,10103323,"2008 (USA)",2008,0
"Shazam!","https://www.imdb.com/title/tt0448115/","https://www.rottentomatoes.com/m/shazam","https://www.boxofficemojo.com/movies/?id=untitledmovieiv.htm",7.1," 5 April 2019 (USA)",1e+08,"90%","83%",4306,53505326,140371656,364571656,"2019 (USA)",2019,0
"Spider-Man","https://www.imdb.com/title/tt0145487/","https://www.rottentomatoes.com/m/spiderman","https://www.boxofficemojo.com/movies/?id=spiderman.htm",7.3," 3 May 2002 (USA)",1.39e+08,"90%","67%",3876,114844116,407022860,825025036,"2002 (USA)",2002,0
"Spider-Man 2","https://www.imdb.com/title/tt0316654/","https://www.rottentomatoes.com/m/spiderman_2","https://www.boxofficemojo.com/movies/?id=spiderman2.htm",7.3," 30 June 2004 (USA)",2e+08,"93%","82%",4166,88156227,373585825,783766341,"2004 (USA)",2004,0
"Spider-Man 3","https://www.imdb.com/title/tt0413300/","https://www.rottentomatoes.com/m/spiderman_3","https://www.boxofficemojo.com/movies/?id=spiderman3.htm",6.2," 4 May 2007 (USA)",2.58e+08,"63%","51%",4324,151116516,336530303,890871626,"2007 (USA)",2007,0
"Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628/","https://www.rottentomatoes.com/m/spider_man_far_from_home","https://www.boxofficemojo.com/movies/?id=spidermanhomecoming2.htm",7.6," 2 July 2019 (USA)",1.6e+08,"90%","95%",4634,92579212,390532085,1131928519,"2019 (USA)",2019,0
"Spider-Man: Homecoming","https://www.imdb.com/title/tt2250912/","https://www.rottentomatoes.com/m/spider_man_homecoming","https://www.boxofficemojo.com/release/rl863208961/",7.4," 7 July 2017 (USA)",1.75e+08,"92%","87%",4348,117027503,334201140,880166924,"2017 (USA)",2017,0
"Stamp Day for Superman","https://www.imdb.com/title/tt0046360/","","",5.9," 1954 (USA)",NA,"","",NA,NA,NA,NA,"1954 (USA)",1954,5
"Steel","https://www.imdb.com/title/tt0120207/","https://www.rottentomatoes.com/m/1078035-steel","https://www.boxofficemojo.com/movies/?id=steel.htm",2.8," 15 August 1997 (USA)",1.6e+07,"12%","16%",1260,870068,1710972,1710972,"1997 (USA)",1997,0
"Suicide Squad","https://www.imdb.com/title/tt1386697/","https://www.rottentomatoes.com/m/suicide_squad_2016","https://www.boxofficemojo.com/release/rl1267172865/",6," 5 August 2016 (USA)",1.75e+08,"27%","59%",326,133682248,325100054,746846894,"2016 (USA)",2016,0
"Supergirl","https://www.imdb.com/title/tt0088206/","https://www.rottentomatoes.com/m/supergirl","https://www.boxofficemojo.com/movies/?id=supergirl.htm",4.4," 21 November 1984 (USA)",3.5e+07,"10%","26%",1620,5738249,14296438,14296438,"1984 (USA)",1984,0
"Superman","https://www.imdb.com/title/tt0078346/","https://www.rottentomatoes.com/m/superman_the_movie","https://www.boxofficemojo.com/release/rl4050814465/weekend/",7.3," 15 December 1978 (USA)",5.5e+07,"94%","86%",817,7465343,134451603,300451603,"1978 (USA)",1978,0
"Superman II","https://www.imdb.com/title/tt0081573/","https://www.rottentomatoes.com/m/superman_ii","https://www.boxofficemojo.com/movies/?id=superman2.htm",6.8," 19 June 1981 (USA)",5.4e+07,"86%","76%",1878,14100523,108185706,108185706,"1981 (USA)",1981,0
"Superman III","https://www.imdb.com/title/tt0086393/","https://www.rottentomatoes.com/m/superman_iii","https://www.boxofficemojo.com/movies/?id=superman3.htm",5," 17 June 1983 (USA)",3.9e+07,"26%","23%",1763,13352357,59950623,59950623,"1983 (USA)",1983,0
"Superman IV: The Quest for Peace","https://www.imdb.com/title/tt0094074/","https://www.rottentomatoes.com/m/superman_iv_the_quest_for_peace","https://www.boxofficemojo.com/movies/?id=superman4.htm",3.7," 24 July 1987 (USA)",1.7e+07,"11%","16%",1511,5683122,15681020,15681020,"1987 (USA)",1987,0
"Superman Returns","https://www.imdb.com/title/tt0348150/","https://www.rottentomatoes.com/m/superman_returns","https://www.boxofficemojo.com/movies/?id=superman06.htm",6," 28 June 2006 (USA)",2.7e+08,"75%","61%",4065,52535096,200081192,391081192,"2006 (USA)",2006,0
"Superman and the Mole Men","https://www.imdb.com/title/tt0506643/","https://www.rottentomatoes.com/m/superman_and_the_molemen","",7.9," 10 August 1953 (USA)",NA,"","",NA,NA,NA,NA,"1953 (USA)",1953,5
"Swamp Thing","https://www.imdb.com/title/tt0084745/","https://www.rottentomatoes.com/m/swamp_thing","https://www.boxofficemojo.com/movies/?id=swampthing.htm",5.4," 19 February 1982 (USA)",3e+06,"67%","34%",NA,NA,NA,NA,"1982 (USA)",1982,4
"The Amazing Spider-Man","https://www.imdb.com/title/tt0948470/","https://www.rottentomatoes.com/m/the_amazing_spider_man","https://www.boxofficemojo.com/movies/?id=spiderman4.htm",6.9," 3 July 2012 (USA)",2.3e+08,"72%","77%",4318,62004688,262030663,757930663,"2012 (USA)",2012,0
