,imdb,rt,imdb_rating,release_date,budget,critic_score_rt,audience_score_rt,bm,opening_weekend_usa,gross_usa,gross_worldwide
Watchmen,https://www.imdb.com/title/tt0409459/,https://www.rottentomatoes.com/m/watchmen,7.6, 6 March 2009 (USA),130000000.0,64%,71%,https://www.boxofficemojo.com/movies/?id=watchmen.htm,55214334.0,107509799.0,185258983.0
Wonder Woman,https://www.imdb.com/title/tt0451279/,https://www.rottentomatoes.com/m/wonder_woman_2017,7.4, 2 June 2017 (USA),149000000.0,93%,88%,,103251471.0,412563408.0,821847012.0
Wonder Woman 1984,https://www.imdb.com/title/tt7126948/,https://www.rottentomatoes.com/m/wonder_woman_2_2019,, 5 June 2020 (USA),,,,https://www.boxofficemojo.com/movies/?id=wbeventfilmiii19.htm,,,
X-Men,https://www.imdb.com/title/tt0120903/,https://www.rottentomatoes.com/m/xmen,7.4, 14 July 2000 (USA),75000000.0,81%,83%,https://www.boxofficemojo.com/movies/?id=xmen.htm,54471475.0,157299718.0,296339528.0
X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,https://www.rottentomatoes.com/m/wolverine,6.6, 1 May 2009 (USA),150000000.0,37%,58%,https://www.boxofficemojo.com/movies/?id=wolverine.htm,85058003.0,179883157.0,373062864.0
X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,https://www.rottentomatoes.com/m/x_men_apocalypse,6.9, 27 May 2016 (USA),178000000.0,47%,65%,https://www.boxofficemojo.com/movies/?id=x-men2016.htm,65769562.0,155442489.0,543934105.0
X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,https://www.rottentomatoes.com/m/x_men_days_of_future_past,8.0, 23 May 2014 (USA),200000000.0,90%,91%,,90823660.0,233921534.0,746045700.0
X-Men: First Class,https://www.imdb.com/title/tt1270798/,,7.7, 3 June 2011 (USA),160000000.0,,,,55101604.0,146408305.0,352616690.0
X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/,,6.7, 26 May 2006 (USA),210000000.0,,,,102750665.0,234362462.0,459256008.0
X2,https://www.imdb.com/title/tt0290334/,https://www.rottentomatoes.com/m/x2_xmen_united,7.4, 2 May 2003 (USA),110000000.0,85%,85%,https://www.boxofficemojo.com/movies/?id=x2.htm,85558731.0,214949694.0,407711549.0
